g1,g2,n1,n2,eps,feasible,chi,d1_i,d1_j,d1_ij,eps_add,SL,panel,origin
b2415,b1779,ptsH,gapA,0.125,True,5.9326346492894295,6.83908228202543,25.18677281383347,26.554316122008494,-448.43676929105686,False,A,panel
b2415,b1779,ptsH,gapA,0.0625,True,2.9631787190112764,3.4195402745412036,12.537450205851293,13.221223006989295,-448.43676929105686,False,A,panel
b2415,b1779,ptsH,gapA,0.03125,True,1.4295779281007746,1.7097692191799083,6.212788901860861,6.591199958821204,-448.43676929105686,False,A,panel
b0973,b2723,hyaB,hycC,1.0,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0973,b2723,hyaB,hycC,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0973,b2723,hyaB,hycC,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0973,b2723,hyaB,hycC,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0973,b2723,hyaB,hycC,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0973,b2723,hyaB,hycC,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0211,b2963,mltD,mltC,1.0,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0211,b2963,mltD,mltC,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0211,b2963,mltD,mltC,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0211,b2963,mltD,mltC,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0211,b2963,mltD,mltC,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0211,b2963,mltD,mltC,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b4232,b3630,fbp,waaP,1.0,True,2.2647682340615205e-14,2.863199319461465e-14,4.6382442318813606e-14,5.962098452573061e-14,0.0,False,B,panel
b4232,b3630,fbp,waaP,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4232,b3630,fbp,waaP,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4232,b3630,fbp,waaP,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4232,b3630,fbp,waaP,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4232,b3630,fbp,waaP,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b0874,b2923,lysO,argO,1.0,True,6.663834523253087e-14,2.863199319461465e-14,2.1455970299541212e-13,2.3445245472079597e-13,0.0,False,ISO,panel
b0874,b2923,lysO,argO,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0874,b2923,lysO,argO,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0874,b2923,lysO,argO,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0874,b2923,lysO,argO,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0874,b2923,lysO,argO,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b3735,b2277,atpH,nuoM,1.0,True,226.48252944535557,272.9656969818416,124.81676294043336,272.9656969818418,-3240.7517372117595,False,A,panel
b3735,b2277,atpH,nuoM,0.5,True,114.02842911006421,129.721954850527,62.40825267498162,129.7219548505272,-3240.7517372117595,False,A,panel
b3735,b2277,atpH,nuoM,0.25,True,57.02233348198496,64.86074477132381,31.204061801320098,64.8607447713239,-3240.7517372117595,False,A,panel
b3735,b2277,atpH,nuoM,0.125,True,28.529093662799653,32.43013973172044,15.601971051303533,32.43013973172986,-3240.7517372117595,False,A,panel
b3735,b2277,atpH,nuoM,0.0625,True,14.261924604515226,16.214837211918624,7.800948157224807,16.21483721192078,-3240.7517372117595,False,A,panel
b3735,b2277,atpH,nuoM,0.03125,True,7.135713474336573,8.107185952017195,3.9004587324490148,8.107185952018536,-3240.7517372117595,False,A,panel
b2150,b4231,mglB,yjfF,1.0,True,9.482221009833483e-13,5.382110711482784e-12,2.863199319461465e-14,5.382110711482784e-12,0.0,False,ISO,panel
b2150,b4231,mglB,yjfF,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2150,b4231,mglB,yjfF,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
