gene_bnumber,TB0_declared,TB1_fresh_seed_same_family,TB2_lognormal_family,TB3_absflux_rule,TB4_adversarial_max
b4019,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.06453495212177898
b3941,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.06453495212177898
b3829,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.06453495212177898
b3939,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714
b1622,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714
b3008,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714
b4013,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.06434765071045714
b0452,0.0628914658541163,0.0628914658541163,0.0628914658541163,0.0628914658541163,0.0628914658541163
b1094,0.0628914658541163,0.0628914658541163,0.0628914658541163,0.0628914658541163,0.0628914658541163
b2836,0.0628914658541163,0.0628914658541163,0.0628914658541163,0.0628914658541163,0.0628914658541163
b3608,0.0581253138695286,0.0581253138695286,0.0581253138695286,0.0581253138695286,0.0581253138695286
b2895,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.045468671849419995
b1378,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.045468671849419995
b0684,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.045468671849419995
b2026,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2023,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2025,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2021,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2024,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2020,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2022,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b2019,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.03960839532591866
b3176,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.03950387444906306
b3729,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.03950387444906306
b3730,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.03950387444906306
b0185,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914
b2316,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914
b3256,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914
b3255,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.032539439382468914
b1092,0.03253860321545326,0.03253860321545326,0.03253860321545326,0.03253860321545326,0.03253860321545326
b1093,0.0325369308814237,0.0325369308814237,0.0325369308814237,0.0325369308814237,0.0325369308814237
b1095,0.0325369308814237,0.0325369308814237,0.0325369308814237,0.0325369308814237,0.0325369308814237
b2323,0.0325369308814237,0.0325369308814237,0.0325369308814237,0.0325369308814237,0.0325369308814237
b3018,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815
b4041,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815
b4160,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815
b2585,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815
b0175,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815,0.03144573292705815
b1262,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314
b1260,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314
b1261,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314
b1263,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314
b3708,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314
b1264,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314,0.023765120812253314
b2903,0.02282924088920424,0.022829240889036567,0.02282924088851801,0.022829240886873353,0.02289170459150143
b2904,0.02282924088920424,0.022829240889036567,0.02282924088851801,0.022829240886873353,0.02289170459150143
b2905,0.02282924088920424,0.022829240889036567,0.02282924088851801,0.022829240886873353,0.02289170459150143
b0914,0.019209264831900538,0.019209264831900538,0.019209264831900538,0.019209264831900538,0.019209264831900538
b1190,0.017426556756264616,0.017426556756264616,0.017426556756264616,0.017426556756264616,0.017426556756264616
b4053,0.017426556756264616,0.017426556756264616,0.017426556756264616,0.017426556756264616,0.017426556756264616
b1215,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185
b3198,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185
b2708,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185
