gene_bnumber,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual,kappa_c,kappa_v_lex,n_rxns,kappa_V_E22
b3959,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b3172,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b3958,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b3772,0.040488461105509854,0.040488461105509854,0.0,0.0,0.0,0.01338216720542876,1,0.0133821672054278
b3117,0.040488461105509854,0.040488461105509854,0.0,0.0,0.0,0.01338216720542876,1,0.0133821672054278
b1206,0.03514828046570584,0.03514828046570584,0.0,0.0,0.0,0.010084911181021958,1,0.0100849111810213
b3781,0.034543731714029524,0.034543731714029524,0.0,1.1102230246251565e-16,0.0,0.009740974699680334,10,0.0097409746996797
b0888,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2582,0.034543731714029524,0.034543731714029524,0.0,1.1102230246251565e-16,0.0,0.009740974699680334,10,0.0097409746996797
b3607,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2421,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2414,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2764,0.034543731714029524,0.034543731714029524,0.0,0.039402711508998545,0.0,0.009740974699680334,4,0.0097409746996797
b2762,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,2,0.0097409746996797
b4214,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2763,0.034543731714029524,0.034543731714029524,0.0,0.039402711508998545,0.0,0.009740974699680334,4,0.0097409746996797
b2750,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2751,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2752,0.034543731714029524,0.034543731714029524,0.0,0.0,0.0,0.009740974699680334,1,0.0097409746996797
b2507,0.03396454669513066,0.03396454669513066,0.0,0.0,0.0,0.009417064752544103,1,0.0094170647525435
b3648,0.03396454669513066,0.03396454669513066,0.0,0.0,0.0,0.009417064752544103,2,0.0094170647525435
b2508,0.03396454669513066,0.03396454669513066,0.0,0.0,0.0,0.009417064752544103,1,0.0094170647525435
b3744,0.03359370662408473,0.03359370662408473,0.0,0.0,0.0,0.009212547956948817,1,0.0092125479569482
b0242,0.030806483241530402,0.030806483241530402,0.0,0.0,0.0,0.007747260487304744,1,0.0077472604873042
b0243,0.030806483241530402,0.030806483241530402,0.0,0.0,0.0,0.007747260487304744,1,0.0077472604873042
