reaction_id,kappa_V_real,raw_F,fisher_dist,viability_margin,constraint_violation_rate,natural_grad,random_curvature,recovery_margin_erosion,V_traj_final
M11a,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,0.2031314292265569,0.005907256241384995,0.994092743758615
M11b,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,0.11662231877210408,0.005907256241384995,0.994092743758615
M12a,0.0011281177572460188,0.15874100087409082,2.917393258787406,0.08048518629647013,0.0,0.07491292325123303,0.055770443567243255,0.005907256241384995,0.994092743758615
M12b,0.0011281177572460188,0.15874100087409082,2.917393258787406,0.08048518629647013,0.0,0.07491292325123303,0.032047119153354196,0.005907256241384995,0.994092743758615
M13a,0.18325924183813902,0.18008977933756287,0.8910043520729629,0.30038030958868167,0.0,0.03877627308388713,0.1397968983777214,0.12487480678865881,0.8751251932113412
M13b,0.18325924183813902,0.18008977933756287,0.8910043520729629,0.30038030958868167,0.0,0.03877627308388713,-0.08145428440158961,0.12487480678865881,0.8751251932113412
M14a,0.026814998778384017,0.03220412591333621,0.07013465860901244,0.03846988117520256,0.0,0.011412477916531705,0.021001201215210204,0.027943613288942015,0.972056386711058
M14b,0.026814998778384017,0.03220412591333621,0.07013465860901244,0.03846988117520256,0.0,0.011412477916531705,-0.18350164292058657,0.027943613288942015,0.972056386711058
M15a,0.025121761690669604,0.04651916081069307,0.11939933548663201,0.040328974379943205,0.0,0.014970732738056233,-0.007215459853246784,0.022443650160838935,0.9775563498391611
M15b,0.025121761690669604,0.04651916081069307,0.11939933548663201,0.040328974379943205,0.0,0.014970732738056233,0.004408904197287015,0.022443650160838935,0.9775563498391611
M16a,2.834007097817361e-05,0.0426167860223996,0.12294687314426068,0.12872212561184496,0.0,0.01441509033775385,0.219004650760697,0.0,1.1276149489306606
M16b,2.834007097817361e-05,0.0426167860223996,0.12294687314426068,0.12872212561184496,0.0,0.01441509033775385,-0.13395414092353358,0.0,1.1276149489306606
M17a,0.007122503307553791,0.09234055255222229,0.6539139308409859,0.04577980094285485,0.0,0.03589581593685831,0.08453368832573364,0.0,1.0171899688304809
M17b,0.007122503307553791,0.09234055255222229,0.6539139308409859,0.04577980094285485,0.0,0.03589581593685831,-0.19618007790260938,0.0,1.0171899688304809
M18a,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.087414956593455,0.005907256241384995,0.994092743758615
M18b,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,0.13557430410190247,0.005907256241384995,0.994092743758615
M19a,0.007122503307553791,0.05105588685591811,0.21976229528711033,0.029176614371916987,0.0,0.020687212857667368,0.030451379904264095,0.0,1.0017918187825703
M19b,0.007122503307553791,0.05105588685591811,0.21976229528711033,0.029176614371916987,0.0,0.020687212857667368,0.06567547193272469,0.0,1.0017918187825703
M20a,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,0.0012228448997564027,0.005907256241384995,0.994092743758615
M20b,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.3261675061769327,0.005907256241384995,0.994092743758615
M21a,0.1159526087908264,0.16881892510598429,0.9900133334080812,0.18133624099903722,0.0,0.029619998026788025,0.020355666327602634,0.1414597065873231,0.8585402934126769
M21b,0.1159526087908264,0.16881892510598429,0.9900133334080812,0.18133624099903722,0.0,0.029619998026788025,-0.056214288678040986,0.1414597065873231,0.8585402934126769
M22a,0.00016136455860139517,0.19465988725852235,0.39023980106602074,0.203827851329347,0.0,0.01977618666428694,-0.00428788622869664,0.0,1.1981617485012173
M22b,0.00016136455860139517,0.19465988725852235,0.39023980106602074,0.203827851329347,0.0,0.01977618666428694,-0.11132299299240618,0.0,1.1981617485012173
