tau,beta,D,L,mdl,sse,kappa_V,abs_err_kappa
0.1,5.0,0.5,4,-95.21077170356327,12.388243827453838,0.6627262178654746,0.392004289034513
0.1,5.0,0.5,8,-82.1491770955795,16.08649076156902,0.9360194290133659,0.6652975001824043
0.1,5.0,0.5,16,-82.1491770955795,16.08649076156902,0.9360194290133659,0.6652975001824043
0.1,5.0,0.5,32,-82.1491770955795,16.08649076156902,0.9360194290133659,0.6652975001824043
0.1,10.0,0.05,4,-100.58754927112996,11.125195413060736,0.5629651340717278,0.2922432052407662
0.1,10.0,0.05,8,-107.01131384853275,9.783889472565022,0.3776525456874642,0.10693061685650262
0.1,10.0,0.05,16,-107.01131384853275,9.783889472565022,0.3776525456874642,0.10693061685650262
0.1,10.0,0.05,32,-107.01131384853275,9.783889472565022,0.3776525456874642,0.10693061685650262
0.1,10.0,0.1,4,-98.57815813860758,11.581398295569494,0.58880813785247,0.3180862090215084
0.1,10.0,0.1,8,-106.76802407547557,9.831611887151443,0.43670988859102544,0.16598795976006386
0.1,10.0,0.1,16,-106.76802407547557,9.831611887151443,0.43670988859102544,0.16598795976006386
0.1,10.0,0.1,32,-106.76802407547557,9.831611887151443,0.43670988859102544,0.16598795976006386
0.1,10.0,0.2,4,-92.97742688206039,12.954132392356037,0.6297572562299686,0.359035327399007
0.1,10.0,0.2,8,-104.6660950856525,10.253729333494826,0.5629499049174749,0.2922279760865133
0.1,10.0,0.2,16,-104.6660950856525,10.253729333494826,0.5629499049174749,0.2922279760865133
0.1,10.0,0.2,32,-104.6660950856525,10.253729333494826,0.5629499049174749,0.2922279760865133
0.1,10.0,0.5,4,-87.6030764588394,14.424120635106755,0.6902389437249191,0.41951701489395754
0.1,10.0,0.5,8,-66.15132708956321,22.152200496092547,0.9805998092365741,0.7098778804056125
0.1,10.0,0.5,16,-66.15132708956321,22.152200496092547,0.9805998092365741,0.7098778804056125
0.1,10.0,0.5,32,-66.15132708956321,22.152200496092547,0.9805998092365741,0.7098778804056125
0.1,50.0,0.05,4,-106.65144745269966,9.854561352672286,0.5043165913462352,0.2335946625152736
0.1,50.0,0.05,8,-97.13335592935917,11.920936928744268,0.2122595831923767,0.05846234563858488
0.1,50.0,0.05,16,-97.13335592935917,11.920936928744268,0.2122595831923767,0.05846234563858488
0.1,50.0,0.05,32,-97.13335592935917,11.920936928744268,0.2122595831923767,0.05846234563858488
0.1,50.0,0.1,4,-100.10811163397406,11.232385248220506,0.5345268044431537,0.2638048756121921
0.1,50.0,0.1,8,-105.48688868464747,10.08677948821365,0.2686921054034282,0.0020298234275333837
0.1,50.0,0.1,16,-105.48688868464747,10.08677948821365,0.2686921054034282,0.0020298234275333837
0.1,50.0,0.1,32,-105.48688868464747,10.08677948821365,0.2686921054034282,0.0020298234275333837
0.1,50.0,0.2,4,-98.39069655847702,11.624901140223042,0.5853699199366315,0.3146479911056699
0.1,50.0,0.2,8,-110.86819567722392,9.05755725450388,0.4086591239337787,0.1379371951028171
0.1,50.0,0.2,16,-110.86819567722392,9.05755725450388,0.4086591239337787,0.1379371951028171
0.1,50.0,0.2,32,-110.86819567722392,9.05755725450388,0.4086591239337787,0.1379371951028171
0.1,50.0,0.5,4,-82.40705463938907,16.003737452685403,0.7222265824274594,0.45150465359649783
0.1,50.0,0.5,8,-95.93597590157255,12.209860469634135,0.7953155854861277,0.5245936566551661
