bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_ess_in_silico,b_wt,b_ko,delta_b,kV,log10_kV,keio_E,kV_db_original,log10_kV_db_original,kV_db_linear,log10_kV_db_linear,kV_db_quadratic,log10_kV_db_quadratic,kV_db_indicator,log10_kV_db_indicator,model
b3653,gltS,COG0786,N,,,0,15.44424150377654,15.444241503776244,2.9665159217984193e-13,1733542.1032113791,6.238934393999523,0,1733542.1032113791,6.238934393999523,1733542.1032114127,6.238934393999531,1733542.1032113791,6.238934393999523,0.0,-12.0,iJO1366
b0507,gcl,COG3960,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3927,glpF,COG0580,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3617,kbl,COG0156,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2240,glpT,COG2271,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0514,glxK,COG1929,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2904,gcvH,COG0509,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2903,gcvP,COG0403,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2905,gcvT,COG0404,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b1033,ycdW,COG0111,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2979,glcD,COG0277,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3926,glpK,COG0554,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0212,gloB,COG0491,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3559,glyS,COG0751,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3560,glyQ,COG0752,E,E,N,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,1,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2053,gmd,COG1089,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3052,rfaE,COG2870,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0200,gmhB,COG0241,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0104,guaC,COG0516,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2507,guaA,COG0518,N,,,1,15.44424150377654,5.277046364587615e-14,15.444241503776489,3019451.814659717,6.479928103394784,0,3019451.814659717,6.479928103394784,6038903.629319424,6.780958099058765,6038903.629319414,6.780958099058765,3019451.814659717,6.479928103394784,iJO1366
b2029,gnd,COG0362,N,,,0,15.44424150377654,15.444241503776368,1.723066134218243e-13,1733542.1032113812,6.238934393999523,0,1733542.1032113812,6.238934393999523,1733542.1032114006,6.2389343939995285,1733542.1032113812,6.238934393999523,0.0,-12.0,iJO1366
b3437,gntK,COG3265,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b4268,idnK,COG3265,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3449,ugpQ,COG0584,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2239,glpQ,COG0584,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b1654,ydhD,COG0278,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733468.827825446,6.238916036344236,0,1733468.827825446,6.238916036344236,1733468.8278254343,6.238916036344232,1733468.827825446,6.238916036344236,0.0,-12.0,iJO1366
b3610,grxC,COG0695,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0849,grxA,COG0695,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0477,gsk,COG0524,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b2988,gss,COG0754,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b3500,gor,COG1249,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b1710,btuE,COG0386,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b3447,ggt,COG0405,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0832,yliD,COG1173,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0829,yliA,COG1123,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0831,yliC,COG0601,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0830,yliB,COG0747,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b2947,gshB,COG0189,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b2153,folE,COG0302,E,N,u,1,15.44424150377654,1.180299370212763e-11,15.444241503764738,3019451.8146577184,6.4799281033944975,1,3019451.8146577184,6.4799281033944975,6038903.629313129,6.780958099058313,6038903.629310822,6.780958099058147,3019451.8146577184,6.4799281033944975,iJO1366
b1277,ribA,COG0807,E,N,u,1,15.44424150377654,0.0,15.44424150377654,3019451.814659569,6.479928103394763,1,3019451.814659569,6.479928103394763,6038903.629319138,6.780958099058744,6038903.629319138,6.780958099058744,3019451.814659569,6.479928103394763,iJO1366
b2883,guaD,COG0402,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0238,gpt,COG0503,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b3092,uxaC,COG1904,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
b0957,ompA,COG2885,N,,,0,15.44424150377654,15.444241503776745,-2.0250467969162853e-13,1733468.827825448,6.238916036344236,0,1733468.827825448,6.238916036344236,1733468.8278254252,6.23891603634423,1733468.827825448,6.238916036344236,0.0,-12.0,iJO1366
