bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b0185,accA,COG0825,E,E,u,1,15.44424150377654,0.0,15.44424150377654,2557560.588534595,6.40782593092948
b3256,accC,COG0439,E,E,u,1,15.44424150377654,0.0,15.44424150377654,2557560.588534595,6.40782593092948
b4069,acs,COG0365,N,,,0,15.44424150377654,15.444241503776322,2.184918912462308e-13,1381161.1831561476,6.140244364219858
b1119,ycfX,COG1940,N,,,0,15.44424150377654,15.44424150377664,-9.947598300641405e-14,1381161.183156158,6.140244364219861
b3784,rfe,COG0472,N,,,0,15.44424150377654,15.44424150377664,-9.947598300641405e-14,1381161.183156158,6.140244364219861
b2415,ptsH,COG1925,N,,,0,15.44424150377654,13.188352284424315,2.2558892193522238,1996762.781129256,6.30032647299991
b0679,nagE,COG1263,N,,,0,15.44424150377654,15.4442415037766,-6.039613253960853e-14,18038.73105522356,4.256205983588552
b1101,ptsG,COG1263,N,,,0,15.44424150377654,15.43839156740992,0.0058499363666193,1421901.7276930187,6.152869581910302
b2417,crr,COG2190,N,,,0,15.44424150377654,13.188352284422862,2.255889219353678,3023024.857495331,6.480441718275625
b2416,ptsI,COG1080,N,,,0,15.44424150377654,13.18835228442337,2.25588921935317,3023024.8574954006,6.480441718275634
b3959,argB,COG0548,N,,,1,15.44424150377654,1.512979838136287e-15,15.44424150377654,5940030.050229404,6.77378864205456
b2818,argA,COG0548,N,,,1,15.44424150377654,0.0,15.44424150377654,5940030.050229287,6.7737886420545514
b0078,ilvH,COG0440,N,,,1,15.44424150377654,0.0,15.44424150377654,4734625.456127627,6.67528562879426
b3670,ilvN,COG0440,N,,,1,15.44424150377654,0.0,15.44424150377654,4734625.45612765,6.675285628794262
b3671,ilvB,COG0028,N,,,1,15.44424150377654,0.0,15.44424150377654,4734625.45612765,6.675285628794262
b3115,tdcD,COG0282,N,,,0,15.44424150377654,13.858342429606472,1.5858990741700687,3872274.328889007,6.587966117051242
b1849,purT,COG0027,N,,,0,15.44424150377654,13.858342429606385,1.5858990741701575,3872280.408772819,6.587966798939377
b2296,ackA,COG0282,N,,,0,15.44424150377654,13.858342429606449,1.5858990741700936,3872280.40877282,6.587966798939377
b2428,yfeU,COG2103,N,,,0,15.44424150377654,15.444241503776444,9.769962616701379e-14,22545.165285472853,4.3530534235993725
b3794,rffM,COG1922,N,,,0,15.44424150377654,15.44424150377645,9.059419880941277e-14,22545.165285473216,4.35305342359938
b1818,manY,COG3715,N,,,0,15.44424150377654,15.43839156740968,0.0058499363668609,1426456.9008294118,6.154258654356412
b1817,manX,COG2893,N,,,0,15.44424150377654,15.438391567409775,0.0058499363667632,1426456.900829415,6.154258654356413
b2429,murP,COG1263,N,,,0,15.44424150377654,15.44424150377653,1.0658141036401504e-14,1385667.6173864044,6.141659067760231
b3225,nanA,COG0329,N,,,0,15.44424150377654,15.44424150377652,1.9539925233402755e-14,1385667.6173864035,6.141659067760231
b0221,fadE,COG1960,N,,,0,15.44424150377654,15.05050939382704,0.3937321099495001,1432116.282984552,6.15597828264238
b1091,fabH,COG0332,N,,,1,15.44424150377654,1.1898013697938988e-14,15.444241503776528,3434323.327793149,6.535841179836615
b3957,argE,COG0624,N,,,1,15.44424150377654,0.0,15.44424150377654,3434323.32779313,6.535841179836613
b3200,yhbN,COG1934,E,u,u,1,15.44424150377654,0.0,15.44424150377654,3434323.3277931046,6.535841179836609
b4261,yjgP,COG0795,E,u,u,1,15.44424150377654,0.0,15.44424150377654,3434323.3277931698,6.535841179836618
b3201,yhbG,COG1137,N,,,1,15.44424150377654,0.0,15.44424150377654,3434323.3277931698,6.535841179836618
b3199,yrbK,COG3117,E,E,u,1,15.44424150377654,0.0,15.44424150377654,3434323.3277931698,6.535841179836618
b1519,tam,COG4106,N,,,0,15.44424150377654,15.444241503776688,-1.4743761767022081e-13,1385667.6173864102,6.141659067760233
b1276,acnA,COG1048,N,,,1,15.44424150377654,-2.638523182293807e-13,15.444241503776803,2837056.087050326,6.452867921645583
b0118,acnB,COG1049,N,,,1,15.44424150377654,0.0,15.44424150377654,2837056.0870502368,6.452867921645569
