dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
4,"k=3 expansions (f2,f4,f6)",grid 27,0.9,40,1.850180e-03,0.910490,0.999845,True,"CONFIRMED (q=0.9105, R^2=0.9998)"
4,"k=3 expansions (f2,f4,f6)",random 27,0.0,40,0.000000e+00,0.473619,0.768674,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",random 27,0.3,40,0.000000e+00,0.444706,0.936519,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",random 27,0.5,40,8.479771e-11,0.602399,0.999998,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",random 27,0.7,40,7.543840e-07,0.761004,0.999997,True,"CONFIRMED (q=0.7610, R^2=1.0000)"
4,"k=3 expansions (f2,f4,f6)",random 27,0.9,40,5.178968e-04,0.920156,0.999999,True,"CONFIRMED (q=0.9202, R^2=1.0000)"
4,"k=3 expansions (f2,f4,f6)",corners 16,0.0,40,0.000000e+00,0.476520,0.765984,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",corners 16,0.3,40,4.385381e-15,0.443706,0.999999,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",corners 16,0.5,40,4.906009e-10,0.601034,0.999962,True,"CONFIRMED (q=0.6010, R^2=1.0000)"
4,"k=3 expansions (f2,f4,f6)",corners 16,0.7,40,2.776005e-06,0.754534,0.999672,True,"CONFIRMED (q=0.7545, R^2=0.9997)"
4,"k=3 expansions (f2,f4,f6)",corners 16,0.9,40,1.850180e-03,0.910490,0.999845,True,"CONFIRMED (q=0.9105, R^2=0.9998)"
4,k=7 expansion  (all optics),grid 27,0.0,40,0.000000e+00,0.835096,0.236569,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),grid 27,0.3,40,1.418394e-22,0.278948,0.992085,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),grid 27,0.5,40,1.069158e-12,0.509575,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),grid 27,0.7,40,2.148211e-07,0.705471,1.000000,True,"CONFIRMED (q=0.7055, R^2=1.0000)"
4,k=7 expansion  (all optics),grid 27,0.9,40,1.048217e-03,0.901728,1.000000,True,"CONFIRMED (q=0.9017, R^2=1.0000)"
4,k=7 expansion  (all optics),random 27,0.0,40,0.000000e+00,0.834842,0.237006,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),random 27,0.3,40,8.915796e-23,0.280081,0.992201,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),random 27,0.5,40,6.071225e-13,0.510323,0.999999,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),random 27,0.7,40,1.165586e-07,0.705729,1.000000,True,"CONFIRMED (q=0.7057, R^2=1.0000)"
4,k=7 expansion  (all optics),random 27,0.9,40,5.600084e-04,0.886647,0.756203,True,"WEAK (q=0.8866, R^2=0.7562)"
4,k=7 expansion  (all optics),corners 16,0.0,40,0.000000e+00,0.835096,0.236569,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),corners 16,0.3,40,1.418394e-22,0.278948,0.992085,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),corners 16,0.5,40,1.069158e-12,0.509575,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
4,k=7 expansion  (all optics),corners 16,0.7,40,2.148211e-07,0.705471,1.000000,True,"CONFIRMED (q=0.7055, R^2=1.0000)"
4,k=7 expansion  (all optics),corners 16,0.9,40,1.048217e-03,0.901728,1.000000,True,"CONFIRMED (q=0.9017, R^2=1.0000)"
5,canonical (k=0),grid 27,0.0,40,0.000000e+00,0.834975,0.236582,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical (k=0),grid 27,0.3,40,0.000000e+00,0.395107,0.937929,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical (k=0),grid 27,0.5,40,1.331210e-12,0.509512,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical (k=0),grid 27,0.7,40,2.690742e-07,0.705525,1.000000,True,"CONFIRMED (q=0.7055, R^2=1.0000)"
5,canonical (k=0),grid 27,0.9,40,1.311030e-03,0.901796,1.000000,True,"CONFIRMED (q=0.9018, R^2=1.0000)"
5,canonical (k=0),random 27,0.0,40,0.000000e+00,0.835466,0.236378,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical (k=0),random 27,0.3,40,0.000000e+00,0.400600,0.929208,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical (k=0),random 27,0.5,40,7.944911e-13,0.509560,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
