bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b3713,yieF,COG0431,N,,,0,0.9259332133632957,0.9259332133632782,1.7541523789077473e-14,7681.54896340464,3.8854488031604255
b3236,mdh,COG0039,N,,,0,0.9259332133632957,0.9259332133632782,1.7541523789077473e-14,7681.54896340464,3.8854488031604255
b4122,fumB,COG1838,N,,,0,0.9259332133632957,0.9259332133632778,1.787459069646502e-14,7686.36453310257,3.885720977443025
b1611,fumC,COG0114,N,,,0,0.9259332133632957,0.9259332133632624,3.3306690738754696e-14,7686.364533102198,3.885720977443004
b1612,fumA,COG1838,N,,,0,0.9259332133632957,0.9259332133632624,3.3306690738754696e-14,7686.364533102198,3.885720977443004
b1638,pdxH,COG0259,N,,,0,0.9259332133632957,0.9259332133632624,3.3306690738754696e-14,7686.364533102198,3.885720977443004
b0907,serC,COG1932,N,,,1,0.9259332133632957,-3.898789540247959e-15,0.9259332133632996,8411.293243822387,3.924862774094775
b1210,hemA,COG0373,E,N,u,1,0.9259332133632957,0.0,0.9259332133632957,8411.293243822485,3.92486277409478
b3429,glgA,COG0297,N,,,0,0.9259332133632957,0.925933213363206,8.970602038971265e-14,7681.843385800009,3.8854654487057276
b3428,glgP,COG0058,N,,,0,0.9259332133632957,0.9259332133632707,2.4980018054066022e-14,7681.8433858016015,3.885465448705818
b0428,cyoE,COG0109,N,,,0,0.9259332133632957,0.9259332133632707,2.4980018054066022e-14,7681.8433858016015,3.885465448705818
b0120,speD,COG1586,N,,,0,0.9259332133632957,0.9259332133632707,2.4980018054066022e-14,7681.8433858016015,3.885465448705818
b2937,speB,COG0010,N,,,0,0.9259332133632957,0.9259332133632707,2.4980018054066022e-14,7681.8433858016015,3.885465448705818
b4117,adiA,COG1982,N,,,0,0.9259332133632957,0.9259332133632707,2.4980018054066022e-14,7681.8433858016015,3.885465448705818
b3172,argG,COG0137,N,,,1,0.9259332133632957,7.310230387964922e-16,0.9259332133632949,9868.908514746257,3.994269123061221
b3958,argC,COG0002,N,,,1,0.9259332133632957,-4.642784111742947e-16,0.9259332133632961,10917.280044032805,4.038114450730761
b0121,speE,COG0421,N,,,0,0.9259332133632957,0.9259332133632533,4.241051954068098e-14,7681.84338580123,3.885465448705797
b0154,hemL,COG0001,E,N,u,1,0.9259332133632957,2.888612247744947e-16,0.9259332133632954,10862.722198027175,4.035938673082972
b0918,kdsB,COG1212,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10862.722198027186,4.035938673082972
b4322,uxuA,COG1312,N,,,0,0.9259332133632957,0.9259332133632666,2.90878432451791e-14,7681.843385801358,3.885465448705804
b3091,uxaA,COG2721,N,,,0,0.9259332133632957,0.9259332133632585,3.7192471324942744e-14,7681.843385801314,3.8854654487058014
b3092,uxaC,COG1904,N,,,0,0.9259332133632957,0.9259332133632585,3.7192471324942744e-14,7681.843385801314,3.8854654487058014
b3176,glmM,COG1109,N,,,1,0.9259332133632957,3.309187670800203e-16,0.9259332133632954,10829.33715950571,4.034601875205305
b3730,glmU,COG1207,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10829.337159505712,4.034601875205305
b3189,murA,COG0766,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10829.337159505712,4.034601875205305
b3967,murI,COG0796,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10829.3371595057,4.034601875205305
b2323,fabB,COG0304,E,E,u,1,0.9259332133632957,4.873486925309949e-16,0.9259332133632953,9868.908514746228,3.9942691230612195
b2232,ubiG,COG2227,N,,,0,0.9259332133632957,0.9259332133632431,5.262457136723242e-14,7659.187343469164,3.884182692482499
b0593,entC,COG1169,N,,,0,0.9259332133632957,0.9259332133633,-4.3298697960381105e-15,7659.187343470553,3.8841826924825775
b0142,folK,COG0801,E,N,u,1,0.9259332133632957,-7.78642354321417e-13,0.9259332133640743,21577.46132480541,4.334000346858267
b3634,coaD,COG0669,E,E,u,1,0.9259332133632957,5.288448622220074e-13,0.9259332133627669,21577.46132479229,4.334000346858003
b0394,mak,COG1940,N,,,0,0.9259332133632957,0.9259332133695333,-6.237566019251517e-12,5440.432384259399,3.735633417094435
b0173,dxr,COG0743,E,E,u,1,0.9259332133632957,1.9271493611738186e-16,0.9259332133632955,10044.064032199634,4.001909472732873
b3843,ubiD,COG0043,E,u,u,1,0.9259332133632957,0.0,0.9259332133632957,10044.06403219964,4.001909472732873
b0477,gsk,COG0524,N,,,0,0.9259332133632957,0.9259332133632308,6.494804694057166e-14,5440.432384248193,3.7356334170935406
b1302,puuE,COG0160,N,,,1,0.9259332133632957,-3.2798332316931044e-22,0.9259332133632957,10044.064032199654,4.001909472732873
